"title","authors","date_document","celex","Full_OJ","manif_pdf","manif_html"
"Notice for the attention of the data subjects to whom the restrictive measures provided for in Council Decision 2014/145/CFSP and Council Regulation (EU) No 269/2014 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine apply 2023/C 190/06","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-05-31,"52023XG0531(05)","http://publications.europa.eu/resource/cellar/a80fd30f-ff4c-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/fa1267b9-ff50-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/fa1267b9-ff50-11ed-a05c-01aa75ed71a1.0006.03"
"Council Implementing Regulation (EU) 2023/1046 of 30 May 2023 implementing Regulation (EU) No 269/2014 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-05-30,"32023R1046","http://publications.europa.eu/resource/cellar/ebdd0fd3-fef1-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/7063ec7a-fef6-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/7063ec7a-fef6-11ed-a05c-01aa75ed71a1.0006.03"
"Council Decision (CFSP) 2023/1048 of 30 May 2023 amending Decision 2014/145/CFSP concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-05-30,"32023D1048","http://publications.europa.eu/resource/cellar/ebdd0fd3-fef1-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/a5452cc9-fef5-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/a5452cc9-fef5-11ed-a05c-01aa75ed71a1.0006.03"
,"http://publications.europa.eu/resource/authority/corporate-body/COM,http://publications.europa.eu/resource/authority/corporate-body/DGT",2023-05-17,"32023R0903R(01)","http://publications.europa.eu/resource/cellar/baf515fd-f46d-11ed-a05c-01aa75ed71a1",,
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-05-11,"32014D0145R(06)","http://publications.europa.eu/resource/cellar/79ec7606-efa7-11ed-a05c-01aa75ed71a1",,
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-05-11,"32022D0329R(03)","http://publications.europa.eu/resource/cellar/79ec7606-efa7-11ed-a05c-01aa75ed71a1",,
"Council Decision (CFSP) 2023/927 of 5 May 2023 on an assistance measure under the European Peace Facility to support the Ukrainian Armed Forces through the provision of ammunition","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-05-05,"32023D0927","http://publications.europa.eu/resource/cellar/fb7dcba3-ed38-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/268416ab-ed3a-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/268416ab-ed3a-11ed-a05c-01aa75ed71a1.0006.03"
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-05-04,"32023R0806R(01)","http://publications.europa.eu/resource/cellar/1807404a-ea43-11ed-a05c-01aa75ed71a1",,
"Commission Implementing Regulation (EU) 2023/903 of 2 May 2023 introducing preventive measures concerning certain products originating in Ukraine","http://publications.europa.eu/resource/authority/corporate-body/COM,http://publications.europa.eu/resource/authority/corporate-body/TRADE",2023-05-02,"32023R0903","http://publications.europa.eu/resource/cellar/30458d83-e90b-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/1f16f167-e90c-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/1f16f167-e90c-11ed-a05c-01aa75ed71a1.0006.03"
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-20,"32022D0582R(03)","http://publications.europa.eu/resource/cellar/2752f2b3-df3d-11ed-a05c-01aa75ed71a1",,
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-20,"32022R1354R(01)","http://publications.europa.eu/resource/cellar/2752f2b3-df3d-11ed-a05c-01aa75ed71a1",,
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-20,"32022D1355R(01)","http://publications.europa.eu/resource/cellar/2752f2b3-df3d-11ed-a05c-01aa75ed71a1",,
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-20,"32022R0581R(03)","http://publications.europa.eu/resource/cellar/2752f2b3-df3d-11ed-a05c-01aa75ed71a1",,
"Commission Decision (EU) 2023/829 of 17 April 2023 on relief from import duties and VAT exemption on importation granted for goods to be distributed or made available free of charge to persons fleeing the military aggression in Ukraine and to persons in need in Ukraine (notified under document C(2023) 2490) (Only the Dutch, Estonian, French, German, Latvian, Lithuanian, Polish, Romanian and Slovak texts are authentic)","http://publications.europa.eu/resource/authority/corporate-body/COM,http://publications.europa.eu/resource/authority/corporate-body/TAXUD",2023-04-17,"32023D0829","http://publications.europa.eu/resource/cellar/a165a5d3-de4b-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/44df0dea-de4d-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/44df0dea-de4d-11ed-a05c-01aa75ed71a1.0006.03"
"Notice for the attention of the natural and legal persons, entities and bodies subject to the restrictive measures provided for in Council Decision 2014/145/CFSP, as amended by Council Decision (CFSP) 2023/756, and Council Regulation (EU) No 269/2014 as implemented by Council Implementing Regulation (EU) 2023/755 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine 2023/C 130/05","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-14,"52023XG0414(02)","http://publications.europa.eu/resource/cellar/03254a89-da8e-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/7409afa0-da94-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/7409afa0-da94-11ed-a05c-01aa75ed71a1.0006.03"
"Notice for the attention of the natural and legal persons, entities and bodies subject to the restrictive measures provided for in Council Decision 2014/145/CFSP, as amended by Council Decision (CFSP) 2023/756, and Council Regulation (EU) No 269/2014, as implemented by Council Implementing Regulation (EU) 2023/755 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine 2023/C 130/04","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-14,"52023XG0414(01)","http://publications.europa.eu/resource/cellar/03254a89-da8e-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/5a7826c2-da91-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/5a7826c2-da91-11ed-a05c-01aa75ed71a1.0006.03"
"Council Decision (CFSP) 2023/810 of 13 April 2023 amending Decision (CFSP) 2022/338 on an assistance measure under the European Peace Facility for the supply to the Ukrainian Armed Forces of military equipment, and platforms, designed to deliver lethal force","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-13,"32023D0810","http://publications.europa.eu/resource/cellar/f0320684-da5c-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/dfa50c2b-da5e-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/dfa50c2b-da5e-11ed-a05c-01aa75ed71a1.0006.03"
"Council Decision (CFSP) 2023/756 of 13 April 2023 amending Decision 2014/145/CFSP concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-13,"32023D0756","http://publications.europa.eu/resource/cellar/c115472b-d9f7-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/e03e4f1c-d9f8-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/e03e4f1c-d9f8-11ed-a05c-01aa75ed71a1.0006.03"
"Corrigendum to Council Implementing Regulation (EU) 2023/429 of 25 February 2023 implementing Regulation (EU) No 269/2014 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine (Official Journal of the European Union L 59 I of 25 February 2023)","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-13,"32023R0429R(02)","http://publications.europa.eu/resource/cellar/c39ad693-d9c6-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/5a7fceac-d9ca-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/5a7fceac-d9ca-11ed-a05c-01aa75ed71a1.0006.03"
"Council Decision (CFSP) 2023/811 of 13 April 2023 amending Decision 2014/145/CFSP concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-13,"32023D0811","http://publications.europa.eu/resource/cellar/f0320684-da5c-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/18f3270d-da5f-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/18f3270d-da5f-11ed-a05c-01aa75ed71a1.0006.03"
"Corrigendum to Council Decision (CFSP) 2023/432 of 25 February 2023 amending Decision 2014/145/CFSP concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine (Official Journal of the European Union L 59 I of 25 February 2023)","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-13,"32023D0432R(03)","http://publications.europa.eu/resource/cellar/c39ad693-d9c6-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/e892ebbb-d9c9-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/e892ebbb-d9c9-11ed-a05c-01aa75ed71a1.0006.03"
"Council Implementing Regulation (EU) 2023/806 of 13 April 2023 implementing Regulation (EU) No 269/2014 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-13,"32023R0806","http://publications.europa.eu/resource/cellar/f0320684-da5c-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/69f7db04-da60-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/69f7db04-da60-11ed-a05c-01aa75ed71a1.0006.03"
"Council Implementing Regulation (EU) 2023/755 of 13 April 2023 implementing Regulation (EU) No 269/2014 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-13,"32023R0755","http://publications.europa.eu/resource/cellar/c115472b-d9f7-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/ab81389d-d9f9-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/ab81389d-d9f9-11ed-a05c-01aa75ed71a1.0006.03"
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-05,"32023R0427R(03)","http://publications.europa.eu/resource/cellar/09753692-d37e-11ed-a05c-01aa75ed71a1",,
"Notice for the attention of ‘RT Arabic’ and ‘Sputnik Arabic’, regarding the application of Council Decision 2014/512/CFSP and Council Regulation (EU) No 833/2014 concerning restrictive measures in view of Russia's actions destabilising the situation in Ukraine 2023/C 120/02","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-04-03,"52023XG0403(01)","http://publications.europa.eu/resource/cellar/79537b21-d1ea-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/15098352-d1ee-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/15098352-d1ee-11ed-a05c-01aa75ed71a1.0006.03"
"Council Implementing Regulation (EU) 2023/722 of 31 March 2023 implementing Regulation (EU) 2023/427 amending Regulation (EU) No 833/2014 concerning restrictive measures in view of Russia’s actions destabilising the situation in Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-31,"32023R0722","http://publications.europa.eu/resource/cellar/84a7b813-d1ea-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/147527fd-d1ed-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/147527fd-d1ed-11ed-a05c-01aa75ed71a1.0006.03"
"Council Decision (CFSP) 2023/728 of 31 March 2023 concerning restrictive measures in view of Russia’s actions destabilising the situation in Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-31,"32023D0728","http://publications.europa.eu/resource/cellar/84a7b813-d1ea-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/06f4c6d1-d1ee-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/06f4c6d1-d1ee-11ed-a05c-01aa75ed71a1.0006.03"
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-30,"32022R2474R(03)","http://publications.europa.eu/resource/cellar/490632b8-cec7-11ed-a05c-01aa75ed71a1",,
,"http://publications.europa.eu/resource/authority/corporate-body/COM,http://publications.europa.eu/resource/authority/corporate-body/DGT",2023-03-30,"32023R0251R(01)","http://publications.europa.eu/resource/cellar/490632b8-cec7-11ed-a05c-01aa75ed71a1",,
"Corrigendum to Council Implementing Regulation (EU) 2023/419 of 24 February 2023 implementing Article 8a of Regulation (EC) No 765/2006 concerning restrictive measures in view of the situation in Belarus and the involvement of Belarus in the Russian aggression against Ukraine (Official Journal of the European Union L 61 of 27 February 2023)","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-28,"32023R0419R(02)","http://publications.europa.eu/resource/cellar/23d8b779-cd01-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/a2737e7f-cd02-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/a2737e7f-cd02-11ed-a05c-01aa75ed71a1.0006.03"
"Corrigendum to Council Decision (CFSP) 2023/421 of 24 February 2023 amending Decision 2012/642/CFSP concerning restrictive measures in view of the situation in Belarus and the involvement of Belarus in the Russian aggression against Ukraine (Official Journal of the European Union L 61 of 27 February 2023)","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-28,"32023D0421R(02)","http://publications.europa.eu/resource/cellar/23d8b779-cd01-11ed-a05c-01aa75ed71a1","http://publications.europa.eu/resource/cellar/d38cc4e1-cd02-11ed-a05c-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/d38cc4e1-cd02-11ed-a05c-01aa75ed71a1.0006.03"
,"http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-16,"32022R0576R(09)","http://publications.europa.eu/resource/cellar/e99864a6-c3c7-11ed-a05c-01aa75ed71a1",,
"Notice for the attention of the persons and entities subject to the restrictive measures provided for in Council Decision 2014/145/CFSP, as amended by Council Decision (CFSP) 2023/572, and in Council Regulation (EU) No 269/2014 as implemented by Council Implementing Regulation (EU) 2023/571 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine 2023/C 95/04","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-14,"52023XG0314(02)","http://publications.europa.eu/resource/cellar/e86da446-c238-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/77ee855d-c23c-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/77ee855d-c23c-11ed-8912-01aa75ed71a1.0006.03"
"Notice for the attention of the data subjects to whom the restrictive measures provided for in Council Decision 2014/145/CFSP and Council Regulation (EU) No 269/2014 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine apply 2023/C 95/05","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-14,"52023XG0314(03)","http://publications.europa.eu/resource/cellar/e86da446-c238-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/97945e70-c23d-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/97945e70-c23d-11ed-8912-01aa75ed71a1.0006.03"
"Notice for the attention of the natural or legal persons, entities or bodies subject to the restrictive measures provided for in Council Decision 2014/145/CFSP, as amended by Council Decision (CFSP) 2023/572 and Council Regulation (EU) No 269/2014 as implemented by Council Implementing Regulation (EU) 2023/571 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine 2023/C 95/06","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-14,"52023XG0314(04)","http://publications.europa.eu/resource/cellar/e86da446-c238-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/d9d21251-c23d-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/d9d21251-c23d-11ed-8912-01aa75ed71a1.0006.03"
"Council Implementing Regulation (EU) 2023/571 of 13 March 2023 implementing Regulation (EU) No 269/2014 concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-13,"32023R0571","http://publications.europa.eu/resource/cellar/45592e46-c209-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/003024d9-c20a-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/003024d9-c20a-11ed-8912-01aa75ed71a1.0006.03"
"Council Decision (CFSP) 2023/572 of 13 March 2023 amending Decision 2014/145/CFSP concerning restrictive measures in respect of actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-13,"32023D0572","http://publications.europa.eu/resource/cellar/45592e46-c209-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/8fb0bf2d-c20a-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/8fb0bf2d-c20a-11ed-8912-01aa75ed71a1.0006.03"
"Notice for the attention of one entity subject to the restrictive measures provided for in Council Decision (CFSP) 2020/1999 and in Council Regulation (EU) 2020/1998, concerning restrictive measures against serious human rights violations and abuses 2023/C 89/03","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-10,"52023XG0310(02)","http://publications.europa.eu/resource/cellar/ace4a5c5-bee4-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/26f3adbc-bee7-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/26f3adbc-bee7-11ed-8912-01aa75ed71a1.0006.03"
"Corrigendum to Council Implementing Regulation (EU) 2023/419 of 24 February 2023 implementing Article 8a of Regulation (EC) No 765/2006 concerning restrictive measures in view of the situation in Belarus and the involvement of Belarus in the Russian aggression against Ukraine (Official Journal of the European Union L 61 of 27 February 2023)","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-09,"32023R0419R(01)","http://publications.europa.eu/resource/cellar/22a1f236-be46-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/149cf7b8-be47-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/149cf7b8-be47-11ed-8912-01aa75ed71a1.0006.03"
"Corrigendum to Council Decision (CFSP) 2023/421 of 24 February 2023 amending Decision 2012/642/CFSP concerning restrictive measures in view of the situation in Belarus and the involvement of Belarus in the Russian aggression against Ukraine (Official Journal of the European Union L 61 of 27 February 2023)","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-08,"32023D0421R(01)","http://publications.europa.eu/resource/cellar/7ce42d96-bd52-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/7744862b-bd56-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/7744862b-bd56-11ed-8912-01aa75ed71a1.0006.03"
"COMMUNICATION FROM THE COMMISSION TO THE EUROPEAN PARLIAMENT AND THE COUNCIL Temporary protection for those fleeing Russia's war of aggression against Ukraine: one year on","http://publications.europa.eu/resource/authority/corporate-body/COM,http://publications.europa.eu/resource/authority/corporate-body/HOME",2023-03-08,"52023DC0140",,"http://publications.europa.eu/resource/cellar/4b930c6b-be5c-11ed-8912-01aa75ed71a1.0001.02","http://publications.europa.eu/resource/cellar/4b930c6b-be5c-11ed-8912-01aa75ed71a1.0001.03"
"Corrigendum to Council Regulation (EU) 2023/427 of 25 February 2023 amending Regulation (EU) No 833/2014 concerning restrictive measures in view of Russia’s actions destabilising the situation in Ukraine (Official Journal of the European Union L 59 I of 25 February 2023)","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-06,"32023R0427R(02)","http://publications.europa.eu/resource/cellar/2419d17c-bbc0-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/86b1e160-bbc1-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/86b1e160-bbc1-11ed-8912-01aa75ed71a1.0006.03"
"Notice for the attention of the persons subject to the restrictive measures provided for in Council Decision 2014/119/CFSP, as amended by Council Decision (CFSP) 2023/457, and in Council Regulation (EU) No 208/2014 as implemented by Council Implementing Regulation (EU) 2023/449 concerning restrictive measures directed against certain persons, entities and bodies in view of the situation in Ukraine 2023/C 80/02","http://publications.europa.eu/resource/authority/corporate-body/CONSIL",2023-03-03,"52023XG0303(01)","http://publications.europa.eu/resource/cellar/e364015e-b999-11ed-8912-01aa75ed71a1","http://publications.europa.eu/resource/cellar/a849e955-b9a2-11ed-8912-01aa75ed71a1.0006.01","http://publications.europa.eu/resource/cellar/a849e955-b9a2-11ed-8912-01aa75ed71a1.0006.03"
